Year,Age
1997.043796,122.0051784
1998.868613,118.9899163
1998.017032,115.0537231
2001.240876,115.0764927
2002.335766,115.0769611
2005.194647,113.9872751
2003.126521,114.0505614
2004.221411,113.0242919
2005.924574,111.9768922
1994.914842,111.9935725
1996.07056,114.0475428
2000.085158,114.0064796
1993.090024,116.9981394
1993.941606,115.0091989
1991.934307,114.0029926
1991.143552,111.9705687
1989.927007,111.9700483
1988.649635,112.0550633
1987.919708,114.0012751
1986.885645,114.0222231
1984.939173,113.9786096
1986.155718,112.9523921
1982.871046,113.015158
1981.89781,113.0575224
1980.742092,112.9714665
1983.965937,110.9621505
1979.647202,110.9603029
1977.822384,110.9809126
1979.038929,109.9119143
1975.145985,110.9797676
1973.138686,112.0056469
1969.671533,110.9774256
1968.029197,111.0195038
